Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120138 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,
120138 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,10,7,3,0,3,0,0,1,0,0,0,6,0,0,0,3,7,1PKS5186MS,
120138 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,6,2,4,0,4,1,0,0,0,0,0,1,0,0,0,5,1,1PKS5188MS,
120138 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,25,9,16,0,23,0,1,1,0,0,0,0,0,1,0,25,0,10KL5319BS,
120138 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,33,15,18,0,25,0,7,0,0,0,0,1,0,7,0,30,3,10KL5320BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,81,47,34,0,48,14,5,2,0,0,1,11,0,6,0,65,16,10KL5003BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,10KL5004BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,23,21,2,0,22,0,0,1,0,0,0,0,0,0,0,23,0,10KL5005BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,151,109,42,0,123,11,1,3,0,0,2,8,3,1,1,133,18,10KL5006BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,121,92,29,0,84,12,4,4,0,0,2,15,0,5,3,100,21,10KL5007BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,33,22,11,0,23,2,0,2,0,0,0,6,0,0,0,25,8,10KL5008BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",46,26,20,0,22,6,1,6,0,0,2,8,1,2,1,33,13,10KL5010BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,63,28,35,0,35,8,9,8,0,0,1,2,0,9,0,54,9,10KL5011BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,91,60,31,0,58,9,2,6,0,0,1,15,0,2,1,72,19,10KL5136BS,
120138 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,76,54,22,0,58,5,2,3,0,0,2,5,1,2,0,67,9,10KL5316BS,
120138 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0176MS,
120138 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,25,13,12,0,13,0,0,2,0,0,0,10,0,1,1,10,15,10KS5273MS,
120138 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,5,3,2,0,0,0,0,0,0,0,0,4,1,0,0,0,5,10KS0176PHD,
120138 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,32,19,13,0,3,1,0,0,0,0,0,28,0,0,0,0,32,10KS5273PHD,
120138 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,119,73,46,0,77,1,1,3,0,0,1,35,1,1,2,83,36,10KL0067NDEG,
120138 ,KL ,538 ,BS ,0002 ,Animal Sciences ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0002BS,
120138 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0006BS,
120138 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10KL0008BS,
120138 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,27,12,15,0,25,0,0,0,0,0,1,1,0,0,0,26,1,10KL0002BS,
120138 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,72,9,63,0,54,1,6,7,0,0,4,0,0,6,1,70,2,10KL0002BS,
