Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120208 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120208 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,7,1,6,0,5,0,0,0,0,0,0,2,0,0,0,0,0,3,4,1PKS5188MS
120208 ,KL ,306 ,MS ,5599 ,Bioprocessing and Bioenergy ,5166 ,Professional Science Masters ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1PKS5599MS
120208 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10KL5319BS
120208 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5736 ,Agricultural Education ,44,14,30,0,38,1,0,4,0,0,1,0,0,0,1,0,1,44,0,10KL5736BS
120208 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5737 ,Org & Community Leadership ,17,6,11,0,15,0,1,0,0,0,1,0,0,1,0,0,1,17,0,10KL5737BS
120208 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5738 ,Ag Communications-Advertising ,36,13,23,0,33,0,1,2,0,0,0,0,0,1,0,0,0,34,2,10KL5738BS
120208 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5739 ,Ag Communications-Journalism ,9,1,8,0,7,0,0,1,0,0,1,0,0,1,0,0,0,9,0,10KL5739BS
120208 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,8,1,7,0,6,0,1,0,0,0,0,1,0,1,0,0,0,6,2,10KS0181MS
120208 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,19,2,17,0,17,0,0,2,0,0,0,0,0,0,0,0,0,18,1,10KS0181MSU
120208 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5287 ,Advertising ,16,4,12,0,13,1,1,1,0,0,0,0,0,2,0,0,1,16,0,10KL5284BS
120208 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5578 ,Journalism ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10KL5284BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,66,37,29,0,43,5,2,9,0,0,1,6,0,3,0,1,6,58,8,10KL5003BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,12,10,2,0,11,0,0,0,0,0,0,1,0,0,0,0,0,11,1,10KL5005BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,157,119,38,0,118,9,8,9,0,0,3,9,1,9,1,0,11,140,17,10KL5006BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,180,136,44,0,115,13,4,30,0,1,3,13,1,7,0,1,15,163,17,10KL5007BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,56,30,26,0,33,7,2,8,0,0,1,5,0,2,1,1,7,45,11,10KL5008BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KL8037BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",24,13,11,0,8,7,1,3,0,0,2,3,0,2,0,0,9,16,8,10KL5010BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10KL8037BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,71,33,38,0,41,5,5,15,0,0,1,1,3,6,0,0,6,67,4,10KL5011BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,148,115,33,0,105,14,6,16,1,0,2,3,1,7,1,0,16,142,6,10KL5136BS
120208 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,61,43,18,0,36,11,4,6,0,0,1,2,1,4,0,0,13,54,7,10KL5316BS
120208 ,KL ,470 ,MAAE ,5870 ,Agricultural & Applied Econ ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1PKS5870MAAE
120208 ,KL ,470 ,MAAE ,5870 ,Agricultural & Applied Econ ,5869 ,BS ACE/MAAE AAE ,6,3,3,0,4,0,0,1,0,0,0,1,0,0,0,0,0,5,1,1PKS5869MAAE
120208 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,20,15,5,0,7,1,0,0,0,0,1,11,0,0,0,0,2,5,15,10KS5273MS
120208 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,62,28,34,0,5,2,1,2,0,0,1,50,1,1,0,0,3,3,59,10KS5273PHD
120208 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,60,32,28,0,50,1,2,6,0,0,1,0,0,2,1,0,3,60,0,10KL0067NDEG
120208 ,KL ,483 ,NONE ,5621 ,ACES Undeclared ,  ,  ,103,54,49,0,50,3,16,26,0,0,2,5,1,18,1,0,6,95,8,10KL5621NONE
120208 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,81,10,70,1,45,6,8,15,0,0,4,1,2,10,2,0,10,77,4,10KL0002BS
120208 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10KL8037BS
120208 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",438,83,352,3,231,39,22,123,1,0,16,4,2,38,7,2,52,401,37,10KL0002BS
120208 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
120208 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5588 ,Food Animal Prod & Mgmt ,27,6,21,0,24,0,0,2,0,0,0,1,0,0,0,0,0,25,2,10KL0002BS
120208 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5588 ,Food Animal Prod & Mgmt ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
120208 ,KL ,538 ,MANSC ,0002 ,Animal Sciences ,  ,  ,4,0,4,0,2,0,2,0,0,0,0,0,0,2,0,0,0,4,0,1PKS0002MANS
120208 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,53,14,39,0,33,1,0,8,0,0,0,11,0,1,1,0,1,30,23,10KS0002MS
120208 ,KL ,538 ,MS ,4026 ,Bioinformatics ,5099 ,Animal Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS5099MS
120208 ,KL ,538 ,NDEG ,0002 ,Animal Sciences ,  ,  ,35,7,28,0,14,0,1,0,0,0,0,0,20,2,0,0,6,0,35,1PKS0002NDEU
120208 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,33,5,28,0,18,2,1,0,0,0,0,12,0,1,0,0,2,12,21,10KS0002PHD
120208 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,107,40,67,0,39,23,7,12,0,0,2,23,1,7,2,0,27,72,35,10KL0038BS
120208 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,59,17,42,0,22,14,3,7,0,0,2,10,1,5,0,1,15,47,12,10KL0040BS
120208 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,68,6,62,0,37,12,3,8,0,0,1,5,2,5,0,1,12,56,12,10KL0041BS
120208 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,48,15,33,0,22,6,4,8,0,0,2,6,0,5,0,1,7,41,7,10KL0042BS
120208 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KS0037MS
120208 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,58,13,44,1,39,6,1,6,0,0,2,1,3,1,0,0,9,25,33,10KS0037MSU
120208 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1PKS0037MS
