Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,Academic Program Code
120128 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120128 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,9,7,2,0,6,1,0,0,0,0,0,2,0,0,0,6,3,1PKS5186MS
120128 ,KL ,306 ,MS ,5188 ,Agricultural Production ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1PKS5188MS
120128 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,8,4,4,0,4,1,0,0,0,0,0,2,1,0,0,5,3,1PKS5188MS
120128 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,18,8,10,0,16,0,2,0,0,0,0,0,0,2,0,18,0,10KL5319BS
120128 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,25,14,11,0,16,1,5,1,0,0,0,2,0,5,0,20,5,10KL5320BS
120128 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,93,50,43,0,56,17,4,1,0,0,0,14,1,4,0,77,16,10KL5003BS
120128 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,9,6,3,0,4,1,0,0,0,0,0,4,0,0,0,5,4,10KL5004BS
120128 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,21,19,2,0,21,0,0,0,0,0,0,0,0,0,0,21,0,10KL5005BS
120128 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,142,107,35,0,115,10,4,3,0,0,1,7,2,4,0,125,17,10KL5006BS
120128 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,107,79,28,0,70,13,4,2,0,0,0,17,1,4,1,86,21,10KL5007BS
120128 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,28,20,8,0,18,3,1,1,0,0,1,4,0,1,1,23,5,10KL5008BS
