Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120108 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,
120108 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,12,10,2,0,8,1,0,0,0,0,0,3,0,0,0,6,6,1PKS5186MS,
120108 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,7,3,4,0,6,0,0,1,0,0,0,0,0,0,0,7,0,1PKS5188MS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,70,35,35,0,41,8,8,5,0,0,1,7,0,8,0,62,8,10KL5003BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,52,35,17,0,42,3,0,1,0,0,0,6,0,1,0,44,8,10KL5004BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,29,27,2,0,29,0,0,0,0,0,0,0,0,0,0,29,0,10KL5005BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,133,97,36,0,116,6,5,1,0,0,1,4,0,5,0,127,6,10KL5006BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,80,57,23,0,66,4,1,4,0,0,1,4,0,2,1,72,8,10KL5007BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,29,22,7,0,18,2,0,3,0,0,1,5,0,0,1,23,6,10KL5008BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",39,24,15,0,23,8,1,3,0,0,0,4,0,1,0,34,5,10KL5010BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,46,22,24,0,26,6,4,7,0,0,0,1,2,5,0,43,3,10KL5011BS,
120108 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,54,37,17,0,32,1,3,2,0,0,0,16,0,3,0,38,16,10KL5136BS,
120108 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,32,18,14,0,16,2,0,0,0,0,0,14,0,0,0,9,23,10KS0176MS,
120108 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,48,28,20,0,9,1,3,0,0,0,0,35,0,3,0,3,45,10KS0176PHD,
120108 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,75,36,39,0,47,0,1,2,0,0,1,22,2,1,1,52,23,10KL0067NDEG,
120108 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,14,5,9,0,13,0,1,0,0,0,0,0,0,1,0,14,0,10KL0005BS,
120108 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",70,13,57,0,57,2,4,5,0,0,2,0,0,5,0,68,2,10KL0006BS,
120108 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,18,6,12,0,18,0,0,0,0,0,0,0,0,0,0,18,0,10KL0007BS,
120108 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",207,39,168,0,168,14,6,13,1,0,1,1,3,7,3,203,4,10KL0008BS,
120108 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,7,2,5,0,6,0,0,1,0,0,0,0,0,0,0,7,0,10KL0002BS,
120108 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,44,6,38,0,39,0,5,0,0,0,0,0,0,5,0,43,1,10KL0002BS,
