Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120198 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120198 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,8,1,7,0,6,0,0,0,0,0,0,2,0,0,0,0,0,4,4,1PKS5188MS
120198 ,KL ,306 ,MS ,5599 ,Bioprocessing and Bioenergy ,5166 ,Professional Science Masters ,7,3,4,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7,1PKS5599MS
120198 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,11,4,7,0,9,1,0,0,0,0,1,0,0,0,1,0,1,10,1,10KL5319BS
120198 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,10,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10KL5320BS
120198 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5736 ,Agricultural Education ,25,7,18,0,23,0,0,2,0,0,0,0,0,0,0,0,0,25,0,10KL5736BS
120198 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5737 ,Org & Community Leadership ,15,2,13,0,14,0,0,0,0,0,1,0,0,0,0,0,1,15,0,10KL5737BS
120198 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5738 ,Ag Communications-Advertising ,25,10,15,0,20,1,1,2,0,0,1,0,0,1,0,0,2,23,2,10KL5738BS
120198 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5739 ,Ag Communications-Journalism ,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10KL5739BS
120198 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,12,3,9,0,10,0,1,0,0,0,0,1,0,1,0,0,0,10,2,10KS0181MS
