Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120218 ,LL ,783 ,BSW ,0365 ,Social Work ,  ,  ,258,33,224,1,140,13,30,61,1,0,4,9,0,36,7,1,15,244,14,10LL0365BSW
120218 ,LL ,783 ,MSW ,0365 ,Social Work ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS0365MSW
120218 ,LL ,783 ,MSW ,0365 ,Social Work ,  ,  ,6,0,6,0,3,0,2,1,0,0,0,0,0,3,0,0,0,6,0,10KS0365MSWX
120218 ,LL ,783 ,MSW ,0365 ,Social Work ,5510 ,Advanced Clinical Practice ,163,24,139,0,96,11,17,33,0,0,6,0,0,24,3,0,13,153,10,10KS0365MSW
120218 ,LL ,783 ,MSW ,0365 ,Social Work ,5510 ,Advanced Clinical Practice ,241,35,204,2,169,4,34,27,0,0,6,0,1,40,3,0,6,226,15,10KS0365MSWX
120218 ,LL ,783 ,MSW ,0365 ,Social Work ,5559 ,Leadership and Social Change ,15,3,12,0,6,0,5,4,0,0,0,0,0,6,2,0,0,13,2,10KS0365MSW
120218 ,LL ,783 ,MSW ,0365 ,Social Work ,5559 ,Leadership and Social Change ,41,7,34,0,31,2,3,3,0,0,2,0,0,5,0,0,3,29,12,10KS0365MSWX
120218 ,LL ,783 ,NDEG ,0365 ,Social Work ,  ,  ,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,10KS0365NDEG
120218 ,LL ,783 ,NDEG ,0365 ,Social Work ,  ,  ,5,0,5,0,2,0,2,1,0,0,0,0,0,2,0,0,0,5,0,10LL0365NDEG
120218 ,LL ,783 ,PHD ,0365 ,Social Work ,  ,  ,32,8,24,0,10,4,3,1,0,0,0,14,0,3,0,0,4,12,20,10KS0365PHD
120218 ,LL ,  ,  ,  ,School of Social Work ,  ,***College total*** ,764,110,651,3,459,34,96,132,1,0,18,23,1,120,15,1,41,691,73, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
120218 ,LN ,  ,  ,  ,Center Innov in Teach Learn ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120218 ,LN ,641 ,NDEG ,1249 ,Nondegree-CE ,  ,  ,207,90,116,1,117,17,9,16,0,0,3,9,36,10,1,0,20,7,200,10LN1249NDEJ
120218 ,LN ,641 ,NDEG ,1249 ,Nondegree-CE ,  ,  ,98,44,54,0,23,7,8,2,0,0,6,3,49,10,1,1,12,0,98,10LN1249NDEX
120218 ,LN ,  ,  ,  ,Center Innov in Teach Learn ,  ,***College total*** ,305,134,170,1,140,24,17,18,0,0,9,12,85,20,2,1,32,7,298, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
120218 ,LP ,  ,  ,  ,School of Information Sciences ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120218 ,LP ,468 ,PHD ,5094 ,Informatics ,  ,  ,56,34,22,0,19,8,3,1,0,0,0,25,0,3,0,0,8,23,33,10KS5094PHD
120218 ,LP ,992 ,BS ,5695 ,Information Sciences ,  ,  ,291,189,102,0,62,107,17,36,0,0,6,58,5,21,1,0,115,200,91,10LP5695BS
120218 ,LP ,992 ,CAS ,0370 ,Library & Information Science ,  ,  ,3,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,10KS0370CAS
120218 ,LP ,992 ,CAS ,0370 ,Library & Information Science ,  ,  ,4,1,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,3,1,10KS0370CASU
120218 ,LP ,992 ,MS ,0370 ,Library & Information Science ,  ,  ,200,47,152,1,148,5,8,27,1,0,7,2,2,11,4,0,10,99,101,10KS0370MS
120218 ,LP ,992 ,MS ,0370 ,Library & Information Science ,  ,  ,408,71,329,8,315,14,24,37,0,0,15,0,3,29,6,0,20,278,130,10KS0370MSU
120218 ,LP ,992 ,MS ,4026 ,Bioinformatics ,5098 ,Library & Information Science ,3,3,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,3,0,10KS5098MS
120218 ,LP ,992 ,MS ,5581 ,Information Management ,  ,  ,407,222,185,0,3,14,1,1,0,0,0,388,0,1,0,0,14,7,400,1PKS5581MS
120218 ,LP ,992 ,MS ,5581 ,Information Management ,  ,  ,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1PKS5581MSU
120218 ,LP ,992 ,NDEG ,5695 ,Information Sciences ,  ,  ,5,3,2,0,3,1,0,0,0,0,0,1,0,0,0,0,1,4,1,10LP5695NDEG
120218 ,LP ,992 ,PHD ,0370 ,Library & Information Science ,  ,  ,17,3,14,0,4,0,3,2,0,0,0,8,0,4,0,0,0,4,13,10KS0370PHD
120218 ,LP ,992 ,PHD ,5695 ,Information Sciences ,  ,  ,72,36,36,0,10,6,6,2,0,0,1,47,0,8,1,0,7,8,64,10KS5695PHD
120218 ,LP ,  ,  ,  ,School of Information Sciences ,  ,***College total*** ,1468,610,849,9,570,156,65,106,1,0,29,530,11,80,12,0,176,632,836, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
120218 ,LT ,  ,  ,  ,Carle Illinois Medicine ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120218 ,LT ,869 ,MD ,5641 ,Medicine - Carle Illinois COM ,  ,  ,153,85,68,0,57,63,6,7,1,0,12,0,7,8,6,3,71,28,125,10LT5641MD
120218 ,LT ,  ,  ,  ,Carle Illinois Medicine ,  ,***College total*** ,153,85,68,0,57,63,6,7,1,0,12,0,7,8,6,3,71,28,125, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
120218 ,NB ,  ,  ,  ,Provost & VC Acad Affairs ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120218 ,NB ,593 ,NDEG ,0067 ,Nondegree ,  ,  ,9,4,4,1,3,1,3,1,0,0,0,0,1,3,0,0,1,9,0,10NB0067NDEG
120218 ,NB ,  ,  ,  ,Provost & VC Acad Affairs ,  ,***College total*** ,9,4,4,1,3,1,3,1,0,0,0,0,1,3,0,0,1,9,0, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
