Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120158 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120158 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,19,12,7,0,4,2,0,1,0,0,0,12,0,0,0,0,2,6,13,1PKS5186MS
120158 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,8,2,6,0,3,0,0,0,0,0,1,4,0,0,0,0,1,3,5,1PKS5188MS
120158 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,24,8,16,0,22,0,0,1,0,0,1,0,0,0,1,0,0,24,0,10KL5319BS
120158 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,31,13,18,0,27,0,2,2,0,0,0,0,0,2,0,0,0,29,2,10KL5320BS
120158 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,10,4,6,0,8,0,0,0,0,0,1,0,1,0,0,0,1,6,4,10KS0181MS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,65,36,29,0,48,9,2,2,0,0,1,3,0,3,0,0,10,58,7,10KL5003BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,25,22,3,0,24,0,0,0,1,0,0,0,0,0,1,0,0,24,1,10KL5005BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,174,127,47,0,133,12,7,3,0,0,3,16,0,8,1,1,13,145,29,10KL5006BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,98,74,24,0,69,10,3,5,0,0,2,9,0,3,3,0,12,84,14,10KL5007BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,24,10,14,0,11,4,2,2,0,0,2,3,0,3,0,0,5,19,5,10KL5008BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",53,28,25,0,22,9,3,7,0,0,1,10,1,3,0,0,10,37,16,10KL5010BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,63,31,32,0,35,6,8,9,0,0,1,4,0,9,1,0,6,55,8,10KL5011BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,94,65,29,0,57,18,1,6,0,0,2,9,1,1,2,0,18,78,16,10KL5136BS
120158 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,73,52,21,0,55,7,3,1,0,0,1,5,1,3,0,0,9,65,8,10KL5316BS
120158 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,33,19,14,0,17,1,1,1,0,0,0,12,1,1,0,0,1,13,20,10KS5273MS
120158 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KS0176PHD
120158 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,50,28,22,0,2,2,1,0,0,0,1,44,0,1,0,0,3,0,50,10KS5273PHD
120158 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,119,68,51,0,68,1,3,2,1,0,0,43,1,3,1,0,1,76,43,10KL0067NDEG
120158 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL0006BS
120158 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL0007BS
120158 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,42,12,30,0,36,1,2,3,0,0,0,0,0,3,0,0,1,41,1,10KL0002BS
120158 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,70,8,62,0,46,3,5,9,0,0,4,3,0,6,0,0,7,65,5,10KL0002BS
120158 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",409,63,346,0,263,38,20,63,0,0,15,8,2,25,4,3,49,367,42,10KL0002BS
120158 ,KL ,538 ,BS ,8501 ,Agriculture ,8596 ,Animal Sciences ,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10KL8596BS
120158 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,56,18,38,0,41,1,1,4,0,0,1,8,0,2,0,0,2,28,28,10KS0002MS
120158 ,KL ,538 ,MS ,4026 ,Bioinformatics ,5099 ,Animal Science ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS5099MS
120158 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,41,22,19,0,18,2,1,2,0,0,0,18,0,1,0,0,2,8,33,10KS0002PHD
120158 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,149,42,107,0,72,18,17,9,0,0,1,30,2,18,1,0,18,111,38,10KL0038BS
120158 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,107,19,88,0,54,24,7,14,0,0,3,4,1,8,2,1,26,99,8,10KL0040BS
120158 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,80,3,77,0,49,12,2,7,0,0,2,8,0,2,0,0,14,66,14,10KL0041BS
120158 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,56,19,37,0,35,3,4,6,0,0,0,8,0,4,0,0,3,46,10,10KL0042BS
120158 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,26,11,15,0,9,3,1,0,0,0,0,12,1,1,0,0,3,8,18,10KS0037MS
120158 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,9,1,8,0,3,2,0,0,0,0,0,4,0,0,0,0,2,3,6,10KS0037MS
120158 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,16,4,12,0,4,2,0,1,0,0,0,9,0,0,0,0,2,6,10,1PKS0037MS
120158 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KS0037PHD
120158 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,37,15,22,0,10,2,1,0,0,0,0,23,1,1,0,0,2,7,30,10KS0037PHD
120158 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,11,5,6,0,5,2,0,0,0,0,0,4,0,0,0,0,2,3,8,10KS0037PHD
120158 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,193,173,20,0,109,24,25,24,1,0,4,6,0,28,3,1,26,175,18,10KL0025BS
120158 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,10KL0029BSAG
120158 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,98,64,34,0,50,14,6,5,0,1,3,17,2,6,1,1,16,61,37,10KL5163BSAG
120158 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10KS0025MS
120158 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1PKS0025MS
120158 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,9,5,4,0,1,1,3,0,0,0,0,4,0,3,0,0,1,5,4,1PKS0025MS
120158 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,150,17,133,0,86,11,16,24,0,0,9,4,0,25,4,0,12,139,11,10KL0049BS
120158 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,48,7,41,0,23,5,10,9,0,0,1,0,0,10,3,0,5,47,1,10KL0050BS
120158 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,3,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,10KS0183PHD
120158 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5125 ,Community Studies and Outreach ,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,10KS0183PHD
120158 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,28,4,24,0,11,1,3,7,0,0,1,5,0,4,0,0,2,9,19,10KS0183PHD
120158 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,5,4,1,0,3,0,0,0,0,0,1,1,0,0,0,0,1,4,1,10KL0031BS
120158 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,39,28,11,0,36,0,0,0,0,0,1,2,0,0,1,0,0,37,2,10KL0033BS
120158 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,52,35,17,0,45,3,1,1,0,0,1,1,0,2,0,0,3,48,4,10KL0034BS
120158 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,53,28,25,0,40,3,2,1,0,0,4,3,0,2,0,0,7,47,6,10KL0035BS
120158 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10KL0036BS
120158 ,KL ,802 ,BS ,0030 ,Crop Sciences ,5123 ,Integrated Pest Management ,5,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,5,0,10KL5123BS
120158 ,KL ,802 ,BS ,0063 ,Horticulture ,5300 ,Sustainable Landscapes ,5,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10KL0063BS
