Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120058 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,,,,,
120058 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,82,49,33,0,70,5,4,2,0,1,0,81,1,10KL0010BS,,,,,
120058 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0011 ,Agri-Finance ,67,50,17,0,52,3,6,6,0,0,0,63,4,10KL0011BS,,,,,
120058 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0012 ,Farm Management ,40,36,3,1,37,1,0,0,0,0,2,40,0,10KL0012BS,,,,,
120058 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,128,97,30,1,117,2,6,3,0,0,0,126,2,10KL0013BS,,,,,
120058 ,KL ,470 ,BS ,0014 ,Consumer and Textile Marketing ,  ,  ,54,2,52,0,44,6,4,0,0,0,0,52,2,10KL0014BS,,,,,
120058 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,104,67,37,0,83,8,5,5,0,1,2,103,1,10KL0018BS,,,,,
120058 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0019 ,Env & Natural Resource Mgmt ,16,7,9,0,14,1,1,0,0,0,0,15,1,10KL0019BS,,,,,
120058 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0020 ,Individually Planned Curricula ,1,1,0,0,0,1,0,0,0,0,0,1,0,10KL0020BS,,,,,
120058 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",53,30,23,0,34,11,2,4,0,0,2,52,1,10KL0021BS,,,,,
120058 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,28,16,12,0,16,1,1,0,0,9,1,13,15,10KS0176MS,,,,,
120058 ,KL ,470 ,PHD ,0001 ,Agricultural Economics ,  ,  ,1,1,0,0,0,0,1,0,0,0,0,0,1,10KS0001PHD,,,,,
120058 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,55,33,22,0,9,2,0,0,0,44,0,2,53,10KS0176PHD,,,,,
120058 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,11,5,6,0,1,0,0,0,0,10,0,1,10,10KL0067NDEG,,,,,
120058 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0004 ,Science ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0004BS,,,,,
120058 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,23,14,9,0,22,1,0,0,0,0,0,23,0,10KL0005BS,,,,,
