Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,585,253,332,0,287,25,10,24,0,0,7,225,7,13,1,0,31,195,390,32,553
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2622,1143,1479,0,1632,251,156,271,3,2,70,229,8,185,29,7,310,2226,396,99,2523
KM ,Business ,Graduate ,1093,542,551,0,266,96,25,41,0,0,8,648,9,26,10,1,100,381,712,6,1087
KM ,Business ,Undergraduate ,3102,1670,1432,0,1479,568,106,229,1,3,65,636,15,127,21,6,615,2163,939,49,3053
KN ,Education ,Graduate ,586,193,393,0,273,38,105,45,3,1,14,100,7,124,10,1,41,363,223,128,458
KN ,Education ,Undergraduate ,615,59,556,0,423,55,39,81,1,0,7,9,0,44,6,0,60,596,19,8,607
KP ,Engineering ,Graduate ,3505,2710,795,0,750,257,27,78,3,0,41,2297,52,36,16,4,320,430,3075,203,3302
KP ,Engineering ,Undergraduate ,7564,6034,1530,0,3044,1781,102,477,4,6,252,1844,54,153,39,28,2003,4244,3320,277,7287
KR ,Fine & Applied Arts ,Graduate ,797,368,429,0,345,46,22,35,2,0,9,335,3,27,5,0,55,194,603,95,702
KR ,Fine & Applied Arts ,Undergraduate ,1624,711,913,0,830,165,98,192,0,2,53,279,5,125,20,9,198,1203,421,48,1576
KS ,Graduate College ,Graduate ,70,44,26,0,45,4,2,0,0,0,3,15,1,3,0,0,7,49,21,30,40
KT ,Media ,Graduate ,78,18,60,0,19,6,4,4,0,0,3,42,0,5,2,0,8,20,58,5,73
KT ,Media ,Undergraduate ,1015,355,660,0,597,99,83,105,1,1,34,91,4,96,11,4,122,855,160,22,993
KU ,Law ,Graduate ,73,29,44,0,1,0,1,1,0,0,0,68,2,2,0,0,0,4,69,1,72
KU ,Law ,Professional ,457,265,192,0,237,47,27,32,0,0,10,63,41,33,2,1,57,248,209,2,455
KV ,Liberal Arts & Sci ,Graduate ,2520,1284,1236,0,954,153,57,142,3,1,58,1133,19,82,23,6,202,328,2192,53,2467
KV ,Liberal Arts & Sci ,Undergraduate ,11683,5935,5748,0,4983,2216,769,1295,8,9,347,2006,50,917,100,57,2496,8657,3026,345,11338
KW ,General Studies ,Undergraduate ,3000,1756,1244,0,1219,454,331,484,3,1,90,410,8,377,42,14,517,2492,508,6,2994
KY ,Applied Health Sci ,Graduate ,280,88,192,0,162,21,14,17,0,0,10,55,1,17,2,1,29,158,122,16,264
KY ,Applied Health Sci ,Undergraduate ,1953,642,1311,0,1093,259,246,260,1,0,60,31,3,281,20,13,299,1806,147,47,1906
LC ,Veterinary Medicine ,Graduate ,70,17,53,0,42,5,1,1,0,0,2,17,2,1,0,0,7,24,46,12,58
LC ,Veterinary Medicine ,Professional ,528,75,453,0,442,25,3,20,1,0,8,3,26,6,3,1,31,318,210,7,521
LG ,Labor & Empl. Rel. ,Graduate ,186,59,127,0,64,13,14,11,1,0,5,76,2,14,2,0,17,93,93,1,185
LL ,School of Social Work ,Graduate ,234,34,200,0,146,14,29,22,0,1,6,15,1,33,2,1,19,197,37,3,231
LL ,School of Social Work ,Undergraduate ,277,35,242,0,160,17,29,58,0,0,9,2,2,37,4,0,20,262,15,14,263
LN ,Center Innov in Teach Learn ,Graduate ,46,17,29,0,34,5,3,2,0,0,1,1,0,3,1,0,5,6,40,45,1
LP ,School of Information Sciences ,Graduate ,305,81,223,1,187,11,12,21,0,0,3,70,1,17,3,0,14,138,167,18,287
NB ,Provost & VC Acad Affairs ,Undergraduate ,12,10,2,0,7,2,2,1,0,0,0,0,0,2,0,0,2,6,6,12,0
