Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,Academic Program Code
120078 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120078 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,27,18,9,0,24,1,2,0,0,0,0,27,0,10KL0010BS
120078 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0011 ,Agri-Finance ,16,13,3,0,14,0,2,0,0,0,0,14,2,10KL0011BS
120078 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0012 ,Farm Management ,14,14,0,0,12,1,0,0,0,0,1,14,0,10KL0012BS
120078 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,43,34,8,1,40,0,1,1,0,1,0,42,1,10KL0013BS
120078 ,KL ,470 ,BS ,0014 ,Consumer and Textile Marketing ,  ,  ,9,1,8,0,6,2,1,0,0,0,0,9,0,10KL0014BS
120078 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,27,15,12,0,20,0,3,2,0,0,2,27,0,10KL0018BS
120078 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0019 ,Env & Natural Resource Mgmt ,8,3,5,0,7,0,1,0,0,0,0,7,1,10KL0019BS
120078 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",20,12,8,0,12,7,1,0,0,0,0,20,0,10KL0021BS
120078 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,56,32,24,0,38,5,5,4,0,3,1,54,2,10KL5003BS
120078 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,91,64,27,0,63,21,4,1,0,1,1,86,5,10KL5004BS
120078 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,19,17,2,0,19,0,0,0,0,0,0,19,0,10KL5005BS
