Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120168 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120168 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,11,6,5,0,3,1,0,0,0,0,0,7,0,0,0,0,1,3,8,1PKS5186MS
120168 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,16,3,13,0,10,2,0,0,0,0,0,4,0,0,0,0,2,8,8,1PKS5188MS
120168 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,33,11,22,0,31,0,0,1,0,0,1,0,0,0,1,0,0,33,0,10KL5319BS
120168 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,43,14,29,0,39,0,2,1,0,0,0,1,0,2,0,0,1,42,1,10KL5320BS
120168 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,11,4,7,0,10,0,0,0,0,0,1,0,0,0,0,0,1,10,1,10KS0181MS
120168 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KS0181MSU
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,58,29,29,0,40,9,1,3,0,0,2,3,0,2,0,0,12,52,6,10KL5003BS
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,26,23,3,0,24,0,0,0,1,0,0,1,0,0,1,0,0,25,1,10KL5005BS
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,162,115,47,0,122,11,6,5,0,0,4,14,0,6,0,1,14,139,23,10KL5006BS
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,105,88,17,0,76,11,2,7,0,0,3,5,1,2,3,0,14,96,9,10KL5007BS
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,33,16,17,0,15,4,2,3,0,0,2,7,0,2,0,0,6,24,9,10KL5008BS
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",49,29,20,0,23,8,4,6,0,0,1,7,0,5,0,0,9,36,13,10KL5010BS
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,77,40,37,0,47,6,7,15,0,0,0,2,0,8,1,0,6,73,4,10KL5011BS
120168 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
