Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120088 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,28,12,16,0,4,1,0,0,0,22,1,4,24,10KS0037PHD,,,,,
120088 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,105,98,7,0,91,2,6,6,0,0,0,104,1,10KL0025BS,,,,,
120088 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,54,47,7,0,45,4,2,1,0,0,2,53,1,10KL0029BSAG,,,,,
120088 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0044 ,Agricultural Communications ,5,1,4,0,5,0,0,0,0,0,0,5,0,10KL0044BS,,,,,
120088 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,4,0,4,0,3,0,1,0,0,0,0,4,0,10KL0046BS,,,,,
120088 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,20,5,15,0,20,0,0,0,0,0,0,20,0,10KL0047BS,,,,,
120088 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",44,9,35,0,38,1,2,1,0,1,1,42,2,10KL5033BS,,,,,
120088 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,154,6,148,0,125,8,11,5,0,2,3,148,6,10KL0049BS,,,,,
120088 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,57,3,54,0,41,3,5,8,0,0,0,56,1,10KL0050BS,,,,,
120088 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0181MS,,,,,
120088 ,KL ,793 ,MS ,0183 ,Human & Community Development ,  ,  ,3,0,3,0,3,0,0,0,0,0,0,2,1,10KS0183MS,,,,,
120088 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,25,4,21,0,14,1,4,0,0,6,0,8,17,10KS0183PHD,,,,,
120088 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,2,2,0,0,2,0,0,0,0,0,0,2,0,10KL0031BS,,,,,
120088 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,17,13,4,0,17,0,0,0,0,0,0,17,0,10KL0033BS,,,,,
120088 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,23,22,1,0,23,0,0,0,0,0,0,23,0,10KL0034BS,,,,,
120088 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,25,13,12,0,22,1,0,2,0,0,0,24,1,10KL0035BS,,,,,
120088 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,9,4,5,0,4,2,2,1,0,0,0,8,1,10KL0036BS,,,,,
120088 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,37,21,16,0,23,1,4,0,0,9,0,24,13,10KS0030MS,,,,,
120088 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,1,1,0,0,0,0,0,0,0,1,0,0,1,10KS5100MS,,,,,
120088 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,29,17,12,0,11,0,1,1,0,16,0,4,25,10KS0030PHD,,,,,
