Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,Academic Program Code
120118 ,LN ,641 ,NDEG ,1249 ,Nondegree-CE ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,10LN1249NDEX
120118 ,LN ,  ,  ,  ,Online & Continuing Education ,  ,***College total*** ,104,30,74,0,87,8,3,4,0,0,0,0,2,3,0,4,100, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120118 ,LP ,  ,  ,  ,Library & Info Sci ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120118 ,LP ,992 ,CAS ,0370 ,Library & Information Science ,  ,  ,13,2,11,0,11,1,0,0,0,0,0,1,0,0,0,10,3,10KS0370CAS
120118 ,LP ,992 ,CAS ,0370 ,Library & Information Science ,5069 ,Digital Libraries ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0370CAS
120118 ,LP ,992 ,MS ,0370 ,Library & Information Science ,  ,  ,246,66,180,0,191,12,12,9,1,0,9,11,1,13,3,143,103,10KS0370MS
120118 ,LP ,992 ,MS ,0370 ,Library & Information Science ,  ,  ,10,3,7,0,8,0,1,0,0,0,1,0,0,1,1,8,2,10KS0370MSU
120118 ,LP ,992 ,MS ,4026 ,Bioinformatics ,5098 ,Library & Information Science ,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KS5098MS
120118 ,LP ,992 ,PHD ,0370 ,Library & Information Science ,  ,  ,47,18,29,0,25,5,3,2,0,0,0,12,0,3,1,20,27,10KS0370PHD
120118 ,LP ,  ,  ,  ,Library & Info Sci ,  ,***College total*** ,320,92,228,0,239,18,16,11,1,0,10,24,1,17,5,185,135, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
