Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,466,209,257,0,250,29,10,9,0,167,1,177,289,28,438
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2344,1024,1317,3,1916,146,114,99,2,39,28,2262,82,29,2315
KM ,Business ,Graduate ,872,544,327,1,304,76,20,14,2,411,45,376,496,11,861
KM ,Business ,Undergraduate ,3008,1782,1220,6,1889,418,154,220,9,269,49,2528,480,31,2977
KN ,Education ,Graduate ,815,240,575,0,410,39,107,49,6,191,13,498,317,198,617
KN ,Education ,Undergraduate ,699,54,643,2,576,30,35,44,3,4,7,686,13,1,698
KP ,Engineering ,Graduate ,2307,1909,398,0,772,183,23,39,2,1269,19,385,1922,68,2239
KP ,Engineering ,Undergraduate ,5010,4292,712,6,3254,873,116,207,8,456,96,3910,1100,145,4865
KR ,Fine & Applied Arts ,Graduate ,883,423,459,1,528,39,27,30,1,237,21,347,536,62,821
KR ,Fine & Applied Arts ,Undergraduate ,1935,936,998,1,1470,188,49,110,4,67,47,1718,217,39,1896
KS ,Graduate College ,Graduate ,2,0,2,0,0,0,1,0,0,0,1,0,2,2,0
KT ,Communications ,Graduate ,113,48,65,0,61,5,10,6,1,30,0,38,75,6,107
KT ,Communications ,Undergraduate ,852,266,586,0,623,67,60,64,5,19,14,795,57,7,845
KU ,Law ,Graduate ,36,18,18,0,1,0,0,1,0,34,0,2,34,0,36
KU ,Law ,Professional ,632,394,237,1,296,104,36,48,3,22,123,419,213,12,620
KV ,Liberal Arts & Sci ,Graduate ,2641,1400,1241,0,1271,159,69,101,8,1008,25,485,2156,106,2535
KV ,Liberal Arts & Sci ,Undergraduate ,15120,7200,7902,18,9424,2010,1398,1243,53,674,318,13841,1279,265,14855
KY ,Applied Health Sci ,Graduate ,239,75,164,0,159,10,21,6,0,41,2,136,103,15,224
KY ,Applied Health Sci ,Undergraduate ,1703,571,1130,2,1253,87,186,119,10,24,24,1602,101,31,1672
LC ,Veterinary Medicine ,Graduate ,63,20,43,0,27,1,2,2,0,29,2,19,44,8,55
LC ,Veterinary Medicine ,Professional ,413,89,324,0,284,18,2,5,2,2,100,338,75,25,388
LE ,Institute of Aviation ,Graduate ,8,6,2,0,5,1,0,1,0,1,0,4,4,0,8
LE ,Institute of Aviation ,Undergraduate ,258,235,23,0,222,11,6,12,0,2,5,238,20,8,250
LG ,Labor & Industrial Relns ,Graduate ,170,55,115,0,87,12,23,7,1,36,4,102,68,5,165
LL ,School of Social Work ,Graduate ,254,17,237,0,179,9,33,19,0,12,2,221,33,10,244
LN ,Continuing Education ,Graduate ,70,20,50,0,50,7,5,4,0,0,4,6,64,64,6
LP ,Library & Info Sci ,Graduate ,266,72,194,0,187,16,9,5,0,37,12,183,83,22,244
NB ,Provost & VC Acad Affairs ,Undergraduate ,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
