Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120178 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120178 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1PKS5186MS
120178 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,14,2,12,0,9,2,0,0,0,0,0,3,0,0,0,0,2,9,5,1PKS5188MS
120178 ,KL ,306 ,MS ,5599 ,Bioprocessing and Bioenergy ,5166 ,Professional Science Masters ,4,3,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,2,2,1PKS5599MS
120178 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,32,8,24,0,30,0,0,1,0,0,1,0,0,0,1,0,0,31,1,10KL5319BS
120178 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,42,18,24,0,39,0,1,0,0,0,1,1,0,1,1,0,0,38,4,10KL5320BS
120178 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,8,2,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10KS0181MS
120178 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,26,6,20,0,23,0,2,0,0,0,1,0,0,2,0,0,1,20,6,10KS0181MSU
120178 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,  ,  ,10,4,6,0,9,0,0,1,0,0,0,0,0,0,0,0,0,10,0,10KL5284BS
120178 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5287 ,Advertising ,11,3,8,0,6,0,1,4,0,0,0,0,0,1,0,0,0,10,1,10KL5284BS
120178 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5578 ,Journalism ,5,1,4,0,4,0,1,0,0,0,0,0,0,1,0,0,0,4,1,10KL5284BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,60,33,27,0,35,8,1,7,0,1,1,7,0,1,0,1,10,51,9,10KL5003BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,16,15,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10KL5005BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,144,104,40,0,109,9,5,3,1,0,5,12,0,7,2,1,11,128,16,10KL5006BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,112,91,21,0,80,7,6,7,0,0,1,10,1,6,2,0,9,100,12,10KL5007BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,37,21,16,0,15,4,1,5,0,0,2,10,0,2,1,0,5,23,14,10KL5008BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",46,25,21,0,22,4,4,7,0,0,1,8,0,6,0,0,5,32,14,10KL5010BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,73,41,32,0,44,5,8,14,0,0,0,2,0,9,0,0,5,68,5,10KL5011BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,81,56,25,0,61,8,2,6,1,0,0,3,0,2,1,0,8,73,8,10KL5136BS
120178 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,72,54,18,0,46,9,2,6,0,0,0,9,0,3,0,0,9,61,11,10KL5316BS
120178 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,20,15,5,0,8,1,1,1,0,0,0,9,0,1,0,0,1,7,13,10KS5273MS
120178 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,59,32,27,0,3,3,1,1,0,0,1,49,1,1,0,0,4,3,56,10KS5273PHD
120178 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,96,49,47,0,59,3,3,3,0,0,0,26,2,3,0,0,3,70,26,10KL0067NDEG
120178 ,KL ,483 ,NONE ,5621 ,ACES Undeclared ,  ,  ,6,4,2,0,1,0,4,0,0,0,0,1,0,4,0,0,0,3,3,10KL5621NONE
120178 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KL0002BS
120178 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,67,5,62,0,34,5,6,16,0,0,3,3,0,8,0,0,9,61,6,10KL0002BS
