Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120188 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120188 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,6,1,5,0,4,0,0,0,0,0,0,2,0,0,0,0,0,4,2,1PKS5188MS
120188 ,KL ,306 ,MS ,5599 ,Bioprocessing and Bioenergy ,5166 ,Professional Science Masters ,10,6,4,0,2,0,0,0,0,0,0,8,0,0,0,0,0,1,9,1PKS5599MS
120188 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,27,8,19,0,25,1,0,0,0,0,1,0,0,0,1,0,1,26,1,10KL5319BS
120188 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,28,9,19,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,10KL5320BS
120188 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,10,2,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10KS0181MS
120188 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,22,8,14,0,20,0,2,0,0,0,0,0,0,2,0,0,0,18,4,10KS0181MSU
120188 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL5284BS
120188 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5287 ,Advertising ,27,10,17,0,21,0,2,4,0,0,0,0,0,3,0,0,0,26,1,10KL5284BS
120188 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5578 ,Journalism ,10,1,9,0,7,1,1,1,0,0,0,0,0,1,0,0,1,10,0,10KL5284BS
