Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120148 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120148 ,KL ,306 ,MS ,5186 ,Bioenergy ,  ,  ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1PKS5186MS
120148 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,16,14,2,0,3,1,0,1,0,0,0,11,0,0,0,0,1,4,12,1PKS5186MS
120148 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,7,2,5,0,3,0,0,0,0,0,1,3,0,0,0,0,1,4,3,1PKS5188MS
120148 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,26,9,17,0,23,0,0,2,0,0,1,0,0,0,1,0,0,26,0,10KL5319BS
120148 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,29,13,16,0,23,1,4,1,0,0,0,0,0,4,0,0,1,27,2,10KL5320BS
120148 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,5,1,4,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,2,10KS0181MS
120148 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10KS0181MSU
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,64,39,25,0,45,9,3,3,0,0,1,3,0,4,0,0,10,57,7,10KL5003BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10KL5004BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,22,19,3,0,21,0,0,0,1,0,0,0,0,0,1,0,0,21,1,10KL5005BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,168,120,48,0,141,9,0,4,0,0,4,9,1,1,2,0,12,147,21,10KL5006BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,116,88,28,0,82,10,3,5,0,0,2,14,0,3,2,0,12,96,20,10KL5007BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,38,22,16,0,24,4,3,0,0,0,1,6,0,4,0,0,4,30,8,10KL5008BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",59,33,26,0,25,11,1,8,0,0,1,12,1,1,0,0,12,40,19,10KL5010BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,53,23,30,0,22,4,8,12,0,0,1,6,0,10,1,0,4,45,8,10KL5011BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,90,60,30,0,50,17,0,7,0,0,3,12,1,0,3,0,19,71,19,10KL5136BS
120148 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,72,53,19,0,57,6,2,1,0,0,3,3,0,2,0,0,9,64,8,10KL5316BS
120148 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,28,14,14,0,16,1,0,1,0,0,0,9,1,1,0,0,1,14,14,10KS5273MS
120148 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KS0176PHD
120148 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,39,23,16,0,2,0,0,1,0,0,1,34,1,0,0,0,2,0,39,10KS5273PHD
120148 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,136,76,60,0,81,0,1,3,1,0,0,50,0,1,2,0,0,85,51,10KL0067NDEG
120148 ,KL ,538 ,BS ,0002 ,Animal Sciences ,  ,  ,5,1,4,0,2,1,1,1,0,0,0,0,0,1,0,0,1,4,1,10KL0002BS
120148 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KL0008BS
120148 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,33,11,22,0,26,0,3,1,0,0,2,1,0,4,0,0,1,32,1,10KL0002BS
120148 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,74,8,66,0,50,5,5,6,0,0,5,3,0,7,2,0,8,69,5,10KL0002BS
120148 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",421,69,352,0,280,33,17,66,0,0,15,8,2,25,5,2,43,386,35,10KL0002BS
120148 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,52,17,35,0,37,1,1,6,0,0,2,5,0,2,1,0,2,29,23,10KS0002MS
120148 ,KL ,538 ,MS ,4026 ,Bioinformatics ,5099 ,Animal Science ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10KS5099MS
120148 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,46,28,18,0,21,2,0,2,0,0,0,21,0,0,0,0,2,10,36,10KS0002PHD
