Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120098 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,,,,,
120098 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,6,6,0,0,3,1,0,0,0,2,0,2,4,1PKS5186MS,,,,,
120098 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,5,2,3,0,5,0,0,0,0,0,0,5,0,1PKS5188MS,,,,,
120098 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,2,1,1,0,1,1,0,0,0,0,0,2,0,10KL0010BS,,,,,
120098 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,2,2,0,0,1,0,1,0,0,0,0,2,0,10KL0013BS,,,,,
120098 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,1,1,0,0,0,0,0,1,0,0,0,1,0,10KL0018BS,,,,,
120098 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",1,1,0,0,0,1,0,0,0,0,0,1,0,10KL0021BS,,,,,
120098 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,63,35,28,0,44,2,4,4,0,6,3,58,5,10KL5003BS,,,,,
120098 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,63,37,26,0,52,3,3,2,0,3,0,58,5,10KL5004BS,,,,,
120098 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,34,32,2,0,33,0,0,0,0,1,0,33,1,10KL5005BS,,,,,
