Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120068 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,,,,,
120068 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,58,39,19,0,49,5,4,0,0,0,0,58,0,10KL0010BS,,,,,
120068 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0011 ,Agri-Finance ,52,40,12,0,41,1,6,4,0,0,0,48,4,10KL0011BS,,,,,
120068 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0012 ,Farm Management ,21,21,0,0,19,1,0,0,0,0,1,21,0,10KL0012BS,,,,,
120068 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,77,58,18,1,70,1,3,2,0,1,0,76,1,10KL0013BS,,,,,
120068 ,KL ,470 ,BS ,0014 ,Consumer and Textile Marketing ,  ,  ,31,1,30,0,24,5,2,0,0,0,0,30,1,10KL0014BS,,,,,
120068 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,68,44,24,0,51,6,5,4,0,0,2,68,0,10KL0018BS,,,,,
120068 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0019 ,Env & Natural Resource Mgmt ,12,4,8,0,10,1,1,0,0,0,0,11,1,10KL0019BS,,,,,
120068 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",36,20,16,0,25,7,2,2,0,0,0,35,1,10KL0021BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,27,16,11,0,21,1,3,1,0,1,0,27,0,10KL5003BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,42,26,16,0,30,5,4,2,0,1,0,40,2,10KL5004BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,15,13,2,0,15,0,0,0,0,0,0,15,0,10KL5005BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,69,41,28,0,56,2,7,3,0,0,1,66,3,10KL5006BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,55,36,19,0,44,7,1,1,0,1,1,53,2,10KL5007BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,17,9,8,0,16,0,0,1,0,0,0,17,0,10KL5008BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",24,12,12,0,11,7,0,1,0,3,2,21,3,10KL5010BS,,,,,
120068 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL5011BS,,,,,
120068 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,26,18,8,0,16,0,2,0,0,8,0,10,16,10KS0176MS,,,,,
120068 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,60,36,24,0,14,4,0,0,0,42,0,3,57,10KS0176PHD,,,,,
120068 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,13,5,8,0,0,0,0,0,0,13,0,0,13,10KL0067NDEG,,,,,
120068 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,21,16,5,0,20,0,1,0,0,0,0,21,0,10KL0005BS,,,,,
120068 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",117,19,98,0,102,7,5,3,0,0,0,117,0,10KL0006BS,,,,,
120068 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,34,15,19,0,34,0,0,0,0,0,0,34,0,10KL0007BS,,,,,
120068 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",354,92,261,1,291,13,14,26,1,3,6,347,7,10KL0008BS,,,,,
120068 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,54,17,37,0,41,2,0,0,0,11,0,35,19,10KS0002MS,,,,,
120068 ,KL ,538 ,NONE ,0002 ,Animal Sciences ,  ,  ,1,1,0,0,0,1,0,0,0,0,0,1,0,10KL0002NONE,,,,,
120068 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,36,22,14,0,17,2,0,1,0,16,0,10,26,10KS0002PHD,,,,,
120068 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,53,17,36,0,27,13,4,1,0,8,0,43,10,10KL0038BS,,,,,
120068 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,34,13,21,0,25,1,4,2,0,1,1,32,2,10KL0039BS,,,,,
120068 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,98,24,74,0,67,16,9,4,0,1,1,93,5,10KL0040BS,,,,,
120068 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,96,4,92,0,84,7,1,2,0,1,1,94,2,10KL0041BS,,,,,
120068 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,88,34,54,0,68,10,2,5,0,3,0,81,7,10KL0042BS,,,,,
120068 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,20,4,16,0,9,2,1,1,0,6,1,9,11,10KS0037MS,,,,,
120068 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,25,10,15,0,7,1,0,0,0,17,0,4,21,10KS0037PHD,,,,,
120068 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,72,68,3,1,62,0,6,2,0,1,1,71,1,10KL0025BS,,,,,
120068 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,0028 ,"Mech, Mrktg & Tech Mgt Sys ",1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0028BS,,,,,
120068 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,42,38,4,0,39,1,1,1,0,0,0,42,0,10KL0029BSAG,,,,,
120068 ,KL ,741 ,NONE ,0025 ,Technical Systems Management ,  ,  ,13,13,0,0,11,1,0,1,0,0,0,13,0,10KL0025NONE,,,,,
120068 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0044 ,Agricultural Communications ,34,9,25,0,30,0,4,0,0,0,0,34,0,10KL0044BS,,,,,
